"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" Sailors, sir: they say they have letters for you.";"unedited";"John Underwood";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009011 Children of the Chapel Royal";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"William Ostler";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009011 Children of the Chapel Royal";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"William Ecclestone";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009012 Lady Elizabeth's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Christopher Beeston";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009002 Lord Chamberlain's (Lord Hunsdon's) Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Alexander Cooke";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009002 Lord Chamberlain's (Lord Hunsdon's) Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Richard Robinson";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Robert Armin";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"William Sly";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009003 Admiral's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Augustine Phillips";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009002 Lord Chamberlain's (Lord Hunsdon's) Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Richard Cowley";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Nicholas Tooley";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
