"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" God bless you, sir.";"unedited";"George K. Hunter / Zachary Lesser / Peter Stallybrass";"The First Literary Hamlet and the Commonplacing of Professional Plays";"Hunter, George K., Zachary Lesser and Peter Stallybrass  ""The First Literary Hamlet and the Commonplacing of Professional Plays."" Shakespeare Quarterly 59 (Winter 2008): 371-420.";"2004";"2004";"2004";"2004";"English";"@006260 SEC 
more entries, is on ADAM";"";"";"@006260 SEC - The First Literary Hamlet and Commonplacing";"";"";"";"Author unmarked";"Academic";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Richard Rowland";"King Edward IV (Rowland edition )";"Rowland, Richard,  ed. The First and Second Part of King Edward IV. Manchester: Manchester University Press, 2005.";"2005";"2005";"2005";"2005";"English";"@006101 SEC more entries";"";"";"@006101 SEC - King Edward IV (Rowland edition)";"";"";"";"Author unmarked";"Annotated edition";"";"";"";"";"";"";"";"";" Heeg Stefanie"
" God bless you, sir.";"unedited";"Balz Engler / Regula Hohl Trillini / Sixta Quaßdorf";"HyperHamlet";"Hohl Trillini, Regula, Sixta Quaßdorf and Balz Engler.  HyperHamlet. 2005-2020. www.hyperhamlet.unibas.ch.";"2005";"2020";"2008";"2008";"English";"@006323 SEC";"";"";"@006323 SEC - HyperHamlet";"";"";"";"Author unmarked";"Scholarly database";"";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"_ 0_Anon";"ECCO - Eighteenth-Century Collections Online";"Anon.  ECCO - Eighteenth Century Collections Online. http://infotrac.galegroup.com/itweb?db=ECCO. 2003.";"2005";"2010";"";"";"English";"@010054 SEC";"";"";"@010054 SEC - ECCO (Eighteenth-Century Collections Online)";"";"";"";"Author unmarked";"Fulltext database";"";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"_ 0_Anon";"BRITP - British Periodicals";"Anon.  British Periodicals. https://search.proquest.com/britishperiodicals?accountid=14616. 2005.";"2005";"2005";"2005";"2005";"English";"@010149 SEC";"";"";"@010149 SEC - BRITP (British Periodicals)";"";"";"";"Author unmarked";"Fulltext database";"";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Sir Brian William  Vickers";"Hamlet and Cicero";"Vickers, Brian.  ""Hamlet and Cicero."" Unpublished manuscript. 2005.";"2005";"2005";"2005";"2005";"English";"@010043 SEC";"";"";"@010043 SEC - Hamlet and Cicero";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"_ 0_Anon";"Google Books";"Anon.  Google Books. 2005. https://books.google.com/.";"2005";"2005";"2005";"2005";"English";"@010113 SEC";"";"";"@010113 SEC - Google Books";"";"";"";"Author unmarked";"Fulltext database";"";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Charles Edelman";"The Stukeley Plays (Edelman edition)";"Edelman, Charles,  ed. The Stukeley Plays. The Battle of Alcazar by George Peele, The Famous History of the Life and Death of Captain Stukeley. Manchester: Manchester University Press 2005.";"2005";"2005";"2005";"2005";"English";"@010158 SEC exhausted";"";"";"@010158 SEC - The Stukeley Plays";"";"";"";"Author unmarked";"Annotated edition";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Charles Cathcart";"Authorship, Indebtedness, and the Children of the King's Revels";"Cathcart, Charles.  ""Authorship, Indebtedness, and the Children of the King's Revels."" Studies in English Literature 1500-1900 45/2 Tudor and Stuart Drama (Spring 2005): 357-374.";"2005";"2005";"2005";"2005";"English";"@006278 SEC more entries, is on ADAM";"";"";"@006278 SEC - Authorship, Indebtedness";"";"";"";"Author unmarked";"Academic";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Leah Scragg";"The Woman in the Moon (Scragg edition)";"Scragg, Leah,  ed. John Lyly. The Woman in the Moon. Manchester and New York: Manchester University Press, 2006.";"2006";"2006";"2006";"2006";"English";"@006103 SEC  Latin entries (index) and pp. 50-131.<br>
";"";"";"@006103 SEC - The Woman in the Moon (Scragg edition)";"";"";"";"Author unmarked";"Annotated edition";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
