"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" Sailors, sir: they say they have letters for you.";"unedited";"Richard Burbage";"human belongs to company";"";"1111";"1111";"";"";"English";"";"";"#009002 Lord Chamberlain's (Lord Hunsdon's) Men / #009003 Admiral's (The Prince's) Men / #009008 Pembroke's Men / #009020 Lord Strange's Men";"";"";"";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"  Hohl Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Henry Condell";"human belongs to company";"";"1111";"1111";"";"";"English";"";"";"#009001 King's Men";"";"";"";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"  Hohl Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"William Kempe";"human belongs to company";"";"1111";"1111";"";"";"English";"";"";"#009001 King's Men / #009020 Lord Strange's Men";"";"";"";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"  Hohl Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"William Shakespeare";"human belongs to company";"";"1111";"1111";"";"";"English";"";"";"#009001 King's Men / #009002 Lord Chamberlain's (Lord Hunsdon's) Men";"";"";"";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"  Hohl Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Nathan Field";"human belongs to company";"";"1111";"1111";"";"";"English";"";"";"#009010 Children of the Queen's Revels";"";"";"";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"  Hohl Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Ben Jonson";"human belongs to company";"";"1111";"1111";"";"";"English";"";"";"#009003 Admiral's (The Prince's) Men";"";"";"";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"  Hohl Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Edward Alleyn";"human belongs to company";"";"1111";"1111";"";"";"English";"";"";"#009003 Admiral's (The Prince's) Men";"";"";"";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"  Hohl Regula"
